SourceCountry,OrderNumber,ProdTime,ItemNumber,Description,SerialNumber,QuantityProduced,CustomerName,DestinationCountry,GoodsOwner,TrackingNumber,DataType,FlowDirection,FlowType
DK,FP-1957,36:00.4,Sim-CPOS-2MM#FP,Sim-CPOS-2MM,,32,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064372,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064372,50,Production Order,DK,Flatpay,,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064371,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500063584,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500063583,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064530,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064529,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064964,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064963,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500063568,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500063567,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064542,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064541,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064618,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064617,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500063750,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500063749,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064517,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064518,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500063785,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500063786,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064566,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064565,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064593,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064899,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064900,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064984,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064983,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500065109,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500065110,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064985,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064986,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1957,39:17.8,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064594,1,Production Order,DK,Flatpay,3911826512,Flow,In,Production
DK,FP-1961,42:51.3,Sim-CPOS-2MM#FP,Sim-CPOS-2MM,,32,Production Order,DK,Flatpay,3911826513,Flow,In,Production
DK,FP-2002,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500065462,1,Production Order,DK,Flatpay,3911826533,Flow,In,Production
DK,FP-2002,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500065461,1,Production Order,DK,Flatpay,3911826533,Flow,In,Production
DK,FP-2002,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500065315,1,Production Order,DK,Flatpay,3911826533,Flow,In,Production
DK,FP-2002,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500065316,1,Production Order,DK,Flatpay,3911826533,Flow,In,Production
DK,FP-2002,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500065368,1,Production Order,DK,Flatpay,3911826533,Flow,In,Production
DK,FP-2002,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500065367,1,Production Order,DK,Flatpay,3911826533,Flow,In,Production
DK,FP-2002,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064430,1,Production Order,DK,Flatpay,3911826533,Flow,In,Production
DK,FP-2002,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500064429,1,Production Order,DK,Flatpay,3911826533,Flow,In,Production
DK,FP-2002,,Cposx5-DE#FP,"Premium Cposx5, Skærm-DE",X1C500065526,1,Production Order,DK,Flatpay,3911826533,Flow,In,Production
