SKU,Goods In,Moved to Production,In Production,Inbound from Production,Shipments Out,Serial no.,Variance,Inventory ULTIMO
###-2XL-B#FP,0,0,0,0,2,,0,-2
###-L-B#FP,0,0,0,0,5,,0,-5
###-L-W#FP,0,0,0,0,12,,0,-12
###-M-B#FP,0,0,0,0,3,,0,-3
###-M-W#FP,0,0,0,0,16,,0,-16
###-S-B#FP,0,0,0,0,2,,0,-2
###-S-W#FP,0,0,0,0,9,,0,-9
020931-99-4-B-S#FP,0,0,0,0,2,,0,-2
020931-99-5-B-M#FP,0,0,0,0,2,,0,-2
020931-99-8-B-XXL#FP,0,0,0,0,1,,0,-1
020932-99-4-B-S#FP,0,0,0,0,1,,0,-1
020932-99-6-B-L#FP,0,0,0,0,1,,0,-1
021030-92-4-S-ASH#FP,0,0,0,0,10,,0,-10
021030-92-5-M-ASH#FP,0,0,0,0,8,,0,-8
021030-92-6-L-ASH#FP,0,0,0,0,14,,0,-14
021030-92-7-XL-ASH#FP,0,0,0,0,2,,0,-2
021030-92-8-2XL-ASH#FP,0,0,0,0,3,,0,-3
021030-99-10-4XL-B#FP,0,0,0,0,1,,0,-1
021030-99-4-S-B#FP,0,0,0,0,6,,0,-6
021030-99-5-M-B#FP,0,0,0,0,12,,0,-12
021030-99-6-L-B#FP,0,0,0,0,13,,0,-13
021030-99-7-XL-B#FP,0,0,0,0,4,,0,-4
021030-99-8-2XL-B#FP,0,0,0,0,2,,0,-2
021033-99-4-S-B#FP,0,0,0,0,13,,0,-13
021033-99-5-M-B#FP,0,0,0,0,8,,0,-8
021033-99-6-L-B#FP,0,0,0,0,13,,0,-13
021033-99-7-XL-B#FP,0,0,0,0,4,,0,-4
021033-99-8-2XL-B#FP,0,0,0,0,2,,0,-2
021033-99-9-3XL-B#FP,0,0,0,0,1,,0,-1
027950-00-4-S-W#FP,0,0,0,0,6,,0,-6
027950-00-5-M-W#FP,0,0,0,0,10,,0,-10
027950-00-6-L-W#FP,0,0,0,0,5,,0,-5
027950-00-8-2XL-W#FP,0,0,0,0,7,,0,-7
027955-00-5-M-W#FP,0,0,0,0,3,,0,-3
027955-00-6-L-W#FP,0,0,0,0,1,,0,-1
027955-00-7-XL-W#FP,0,0,0,0,2,,0,-2
028247-99-6-L-B#FP,0,0,0,0,3,,0,-3
029033-00-4-S-W#FP,0,0,0,0,7,,0,-7
029033-00-5-M-W#FP,0,0,0,0,13,,0,-13
029033-00-6-L-W#FP,0,0,0,0,13,,0,-13
029033-00-7-XL-W#FP,0,0,0,0,3,,0,-3
029033-00-9-3XL-W#FP,0,0,0,0,1,,0,-1
029033-99-4-S-B#FP,0,0,0,0,1,,0,-1
029033-99-5-M-B#FP,0,0,0,0,6,,0,-6
029033-99-6-L-B#FP,0,0,0,0,8,,0,-8
029033-99-7-XL-B#FP,0,0,0,0,1,,0,-1
029033-99-8-2XL-B#FP,0,0,0,0,2,,0,-2
029033-99-9-3XL-B#FP,0,0,0,0,1,,0,-1
029034-99-4-S-B#FP,0,0,0,0,5,,0,-5
0510-00-4-S-W#FP,0,0,0,0,3,,0,-3
0510-00-5-M-W#FP,0,0,0,0,13,,0,-13
0510-00-6-L-W#FP,0,0,0,0,7,,0,-7
0510-00-7-XL-W#FP,0,0,0,0,8,,0,-8
0510-00-8-2XL-W#FP,0,0,0,0,2,,0,-2
0510-99-4-S-B#FP,0,0,0,0,2,,0,-2
0510-99-5-M-B#FP,0,0,0,0,15,,0,-15
0510-99-6-L-B#FP,0,0,0,0,1,,0,-1
0510-99-7-XL-B#FP,0,0,0,0,12,,0,-12
0510-99-8-2XL-B#FP,0,0,0,0,4,,0,-4
0511-00-4-S-W#FP,0,0,0,0,5,,0,-5
